length,onehot@16,wave@2048,wave@768
16,0.9372549019607662,0.937548557745455,0.9382937630386783
24,1.0,0.9585547872477609,0.9586442047263026
32,1.0,0.9690163312127338,0.9690415726833477
48,1.0,0.9790851550371693,0.9794611794252819
64,1.0,0.984314146568048,0.9844331377752674
96,1.0,0.9896136179269774,0.9895815124203666
128,1.0,0.9922097035416925,0.9920772553404693
192,1.0,0.994805972530549,0.9947441485280684
256,1.0,0.9961301206532056,0.9960459041853784
