bucket,vocab_tokens,val_tokens,val_share_%,m2_dense,m2_onehot,m2_wave_l2,m2_wave_sqrtlen,m2_wave_znorm
top 1K,1000,1223243,61.17,3.2169,3.4441,3.3605,3.4863,3.5247
1K-10K,9000,589146,29.46,6.0245,6.3249,6.2941,6.3903,6.4413
10K-100K,80277,187279,9.36,9.1163,9.4105,9.4318,9.4656,9.4861
unseen in train,40795,204,0.01,15.7186,15.8852,15.951,16.0576,15.9807
