bucket,val_tokens,m2_dense,m2_dense_SE,m2_dense_sig,m2_wave_l2,m2_wave_l2_SE,m2_wave_l2_sig,m2_wave_sqrtlen,m2_wave_sqrtlen_SE,m2_wave_sqrtlen_sig,m2_wave_znorm,m2_wave_znorm_SE,m2_wave_znorm_sig
collides @16,19991,-0.2211,0.0067,yes,-0.0599,0.0058,yes,0.0087,0.0051,no,0.072,0.0052,yes
"cropped, still distinct",22457,-0.2105,0.0061,yes,-0.0292,0.0052,yes,0.0496,0.0046,yes,0.0821,0.0046,yes
fits in window,1957424,-0.2559,0.0007,yes,-0.0585,0.0005,yes,0.0507,0.0004,yes,0.091,0.0005,yes
